Date,Climate_ID,District,Temperature_C,Humidity_%,Rainfall_mm,Wind_Speed_kmh,Heat_Index
2021-04-29,119.0,Hambantota,26.0,70.5,0.0,16.9,
2021-04-30,120.0,Galle,27.8,77.3,28.3,8.7,31.2
2021-05-01,121.0,Hambantota,26.1,66.9,1.0,19.8,
2021-05-02,122.0,Matara,24.7,74.1,13.1,10.9,
2021-05-03,123.0,Mullaitivu,26.2,,2.4,9.1,
2021-05-04,124.0,Gampaha,26.9,82.0,5.1,15.4,
2021-05-05,125.0,Colombo,26.5,70.4,,6.2,
2021-05-06,126.0,Batticaloa,26.0,64.1,9.6,17.9,
,127.0,Moneragala,26.9,61.8,2.4,5.0,
2021-05-08,128.0,Moneragala,27.0,65.2,3.5,9.9,28.5
2021-05-09,129.0,Ratnapura,27.3,77.5,0.0,22.9,30.1
2021-05-10,130.0,Matale,17.2,62.0,3.7,11.6,
2021-05-11,131.0,Kalutara,25.0,74.1,4.3,12.4,
2021-05-12,132.0,Mullaitivu,25.5,63.8,4.0,21.4,
2021-05-13,133.0,Matara,27.1,78.6,0.0,11.0,29.8
2021-05-14,134.0,Badulla,15.0,68.1,0.0,18.8,
2021-05-15,135.0,Kalutara,25.8,74.9,0.0,20.9,
2021-05-16,136.0,Colombo,24.7,78.5,3.9,17.4,
2021-05-17,137.0,Kalutara,25.3,75.6,0.0,,
2021-05-18,138.0,Matale,18.2,66.7,6.4,12.0,
2021-05-19,139.0,Trincomalee,25.6,74.5,0.6,28.6,
2021-05-20,,Mannar,25.3,73.2,0.0,12.5,
2021-05-21,141.0,Kalutara,23.2,72.6,3.1,29.9,
2021-05-22,142.0,Colombo,26.4,,0.0,23.5,
2021-05-23,143.0,Matale,17.2,71.1,0.0,17.6,
2021-05-24,,Moneragala,28.5,63.2,4.5,16.5,30.6
2021-05-25,145.0,Mannar,24.8,71.1,0.6,12.7,
2021-05-26,146.0,Galle,25.6,84.0,10.9,14.6,
2021-05-27,147.0,,,63.3,0.0,11.6,
2021-05-28,148.0,,27.6,64.1,8.4,14.7,29.3
2021-05-29,149.0,Trincomalee,25.1,71.9,0.0,8.2,
2021-05-30,150.0,Jaffna,25.7,68.9,0.0,,
2021-05-31,151.0,Vavuniya,26.2,70.0,0.0,21.5,
2021-06-01,152.0,Puttalam,26.3,67.2,0.0,6.9,
2021-06-02,153.0,Galle,25.3,77.4,0.0,19.4,
2021-06-03,154.0,Ampara,26.3,60.6,0.0,5.5,
2021-06-04,155.0,Anuradhapura,27.6,70.0,2.8,18.1,29.9
2021-06-05,156.0,Kandy,15.5,70.5,0.0,14.0,
2021-06-06,157.0,Matale,17.2,64.9,0.0,21.6,
2021-06-07,158.0,Moneragala,24.9,65.7,0.0,13.3,
2021-06-08,159.0,,27.8,69.7,9.0,5.0,30.2
2021-06-09,160.0,Vavuniya,23.7,67.9,0.0,14.1,
2021-06-10,161.0,Trincomalee,25.2,68.1,3.6,15.8,
2021-06-11,162.0,Kilinochchi,26.6,65.6,0.6,14.3,
2021-06-12,163.0,Kandy,19.3,70.4,0.0,17.9,
2021-06-13,164.0,Vavuniya,25.9,,1.0,12.2,
2021-06-14,165.0,Galle,25.2,78.1,0.0,8.7,
2021-06-15,166.0,Puttalam,28.8,61.8,4.9,10.0,31.0
2021-06-16,167.0,Badulla,14.8,65.8,4.8,,
2021-06-17,168.0,Gampaha,22.7,75.2,0.0,12.4,
2021-06-18,169.0,Jaffna,26.7,66.8,0.0,27.0,
2021-06-19,170.0,Vavuniya,25.2,64.4,0.5,21.3,
2021-06-20,171.0,Kegalle,,75.3,19.4,18.4,
2021-06-21,172.0,Polonnaruwa,27.1,69.2,0.0,17.2,
2021-06-22,173.0,,17.4,64.1,14.2,16.5,
2021-06-23,,Mullaitivu,25.2,59.4,2.5,16.5,
2021-06-24,175.0,Mullaitivu,,72.9,0.7,15.8,
2021-06-25,176.0,Anuradhapura,27.3,71.4,0.0,15.2,
2021-06-26,177.0,Kilinochchi,27.0,60.7,6.1,,28.1
2021-06-27,178.0,,25.9,68.6,0.7,13.2,
2021-06-28,179.0,Kegalle,28.8,73.8,0.0,13.8,33.0
2021-06-29,180.0,Galle,24.4,76.9,3.8,,
2021-06-30,181.0,Colombo,23.7,77.0,1.1,12.2,
2021-07-01,182.0,Colombo,26.0,74.1,3.1,16.5,
2021-07-02,183.0,,26.9,71.9,,18.8,
2021-07-03,184.0,Kegalle,27.4,72.3,14.5,16.5,29.8
2021-07-04,185.0,Anuradhapura,26.6,61.3,0.0,18.7,
2021-07-05,186.0,Vavuniya,27.5,61.7,20.0,18.8,28.9
2021-07-06,187.0,Hambantota,,64.7,0.0,13.5,
2021-07-07,188.0,Kalutara,29.2,72.1,3.1,17.6,
,189.0,Galle,26.9,77.7,23.8,6.3,
2021-07-09,190.0,Nuwara Eliya,19.7,71.0,0.0,13.1,
2021-07-10,191.0,Matara,27.5,72.7,,12.5,30.0
2021-07-11,192.0,Hambantota,27.7,,0.2,22.7,29.6
2021-07-12,193.0,Matale,18.9,67.0,0.0,16.7,
2021-07-13,194.0,Colombo,27.7,76.9,6.1,,30.9
2021-07-14,195.0,Puttalam,28.0,65.3,9.2,18.0,30.1
2021-07-15,196.0,Jaffna,29.0,68.0,0.0,19.5,32.4
2021-07-16,197.0,Mullaitivu,27.3,66.9,0.0,14.6,29.1
2021-07-17,198.0,Ratnapura,28.1,70.1,0.0,18.5,30.9
2021-07-18,,Trincomalee,26.9,68.5,0.0,5.0,
2021-07-19,200.0,Badulla,20.2,,18.9,5.0,
2021-07-20,201.0,Ratnapura,26.0,72.0,0.0,9.1,
2021-07-21,202.0,Hambantota,29.7,65.2,3.1,,33.3
2021-07-22,203.0,Anuradhapura,26.9,67.7,3.9,22.7,
2021-07-23,204.0,Ampara,,64.2,0.0,9.4,
2021-07-24,,Ampara,27.2,,1.0,10.7,29.1
2021-07-25,206.0,Anuradhapura,26.0,74.5,1.4,15.4,
2021-07-26,207.0,Mullaitivu,28.3,61.9,2.9,12.5,30.1
2021-07-27,208.0,,26.0,69.5,0.0,12.3,
,209.0,Gampaha,26.3,76.2,0.0,12.9,
2021-07-29,210.0,Kalutara,24.2,77.9,11.0,,
2021-07-30,211.0,Ampara,26.3,,4.3,20.6,
2021-07-31,212.0,Matale,14.4,70.8,7.1,15.1,
2021-08-01,213.0,Ampara,,,10.6,23.3,
2021-08-02,,Ratnapura,29.1,78.3,0.0,17.5,34.6
2021-08-03,215.0,Ampara,29.2,63.1,13.5,20.8,31.9
2021-08-04,216.0,Ampara,28.6,72.4,0.0,10.7,32.3
2021-08-05,217.0,Gampaha,26.5,83.5,0.0,11.7,
2021-08-06,218.0,Gampaha,27.9,72.4,4.3,11.7,30.8
2021-08-07,219.0,Badulla,19.0,63.3,0.0,14.6,
2021-08-08,220.0,Moneragala,26.3,68.9,2.3,15.3,
2021-08-09,221.0,Matale,21.3,64.0,9.2,16.6,
2021-08-10,222.0,Colombo,29.3,,0.0,24.9,34.5
2021-08-11,223.0,Colombo,27.7,75.6,9.0,18.6,30.8
2021-08-12,224.0,Puttalam,28.0,57.8,,12.4,29.2
2021-08-13,225.0,Gampaha,28.3,75.4,4.3,15.0,32.1
2021-08-14,226.0,Polonnaruwa,24.9,62.7,,22.5,
2021-08-15,227.0,Mullaitivu,27.6,63.5,0.0,18.9,29.2
2021-08-16,228.0,Nuwara Eliya,18.0,71.3,6.6,22.5,
2021-08-17,229.0,Moneragala,26.5,60.5,0.0,12.6,
2021-08-18,230.0,Kandy,18.6,68.8,0.0,11.4,
2021-08-19,231.0,Moneragala,30.7,64.4,1.4,11.5,35.3
2021-08-20,232.0,Kilinochchi,29.0,64.4,0.0,13.0,31.7
2021-08-21,233.0,Ratnapura,27.1,78.7,11.4,9.7,29.8
2021-08-22,234.0,Ampara,28.9,66.9,0.0,16.5,32.0
2021-08-23,235.0,Nuwara Eliya,21.1,67.8,2.0,16.6,
2021-08-24,236.0,Ratnapura,29.4,79.4,7.7,21.7,35.7
2021-08-25,237.0,Matale,19.1,64.2,0.0,6.2,
2021-08-26,238.0,Anuradhapura,27.0,63.1,0.0,10.3,28.3
2021-08-27,239.0,Gampaha,29.0,71.2,5.5,19.0,33.0
2021-08-28,240.0,Nuwara Eliya,19.6,62.2,4.1,15.9,
2021-08-29,241.0,Badulla,20.3,77.3,13.5,15.2,
2021-08-30,242.0,Kilinochchi,29.0,70.5,0.0,21.3,32.8
2021-08-31,243.0,Batticaloa,29.6,60.1,0.0,10.0,32.1
2021-09-01,244.0,Batticaloa,27.9,61.9,11.3,11.4,29.5
2021-09-02,245.0,Colombo,30.7,,,,39.6
2021-09-03,246.0,Hambantota,29.0,69.4,1.4,5.0,32.6
2021-09-04,247.0,Nuwara Eliya,22.8,69.4,9.3,15.7,
2021-09-05,,Batticaloa,27.7,66.2,0.6,12.4,29.7
2021-09-06,249.0,Kalutara,31.3,76.7,7.0,,40.7
2021-09-07,250.0,Anuradhapura,29.0,68.5,0.0,10.4,32.5
2021-09-08,251.0,Kandy,18.8,67.5,27.4,14.9,
2021-09-09,,Puttalam,28.0,58.3,10.1,11.0,29.3
2021-09-10,253.0,Kalutara,28.3,76.3,0.0,16.1,32.2
2021-09-11,254.0,Puttalam,,63.8,20.0,17.3,32.4
2021-09-12,255.0,Anuradhapura,29.5,67.9,0.3,13.5,33.4
2021-09-13,256.0,Galle,27.9,89.1,,13.2,33.3
2021-09-14,257.0,,,68.7,7.1,15.9,31.9
2021-09-15,258.0,Hambantota,31.9,65.9,2.2,14.9,38.7
2021-09-16,259.0,Colombo,31.3,80.9,0.0,21.7,
2021-09-17,260.0,Matara,29.4,79.1,12.6,16.6,35.7
2021-09-18,,Galle,28.8,78.9,8.1,20.5,34.0
2021-09-19,262.0,Kurunegala,28.9,69.6,16.5,18.1,32.4
2021-09-20,263.0,Matara,29.7,,0.0,8.4,38.2
2021-09-21,264.0,Colombo,27.2,72.7,,12.2,29.5
2021-09-22,265.0,Kilinochchi,28.3,69.1,5.4,,31.1
2021-09-23,,Kegalle,26.2,73.5,6.4,19.3,
2021-09-24,267.0,Kegalle,29.3,79.4,2.7,24.6,35.4
2021-09-25,268.0,Kurunegala,29.7,63.5,13.2,,32.9
2021-09-26,269.0,Moneragala,28.0,65.5,1.8,15.3,30.1
2021-09-27,270.0,Jaffna,31.1,66.0,3.0,19.0,36.7
2021-09-28,271.0,Kalutara,26.9,81.1,,14.7,
2021-09-29,272.0,Galle,26.5,80.9,0.0,23.2,
2021-09-30,273.0,Batticaloa,,62.2,,8.3,31.6
2021-10-01,274.0,Batticaloa,30.6,69.9,0.4,18.4,36.5
2021-10-02,275.0,Kegalle,31.5,76.8,0.0,18.3,41.4
2021-10-03,276.0,Anuradhapura,28.3,64.6,0.0,20.8,30.5
2021-10-04,277.0,Ampara,30.6,68.8,0.0,15.3,36.2
2021-10-05,278.0,Gampaha,28.9,,17.5,19.5,34.1
2021-10-06,279.0,Colombo,,89.4,0.0,13.8,35.9
2021-10-07,280.0,Batticaloa,30.3,71.4,4.4,11.0,36.1
2021-10-08,281.0,Mullaitivu,30.0,,2.8,10.3,33.7
2021-10-09,282.0,Matale,17.6,67.4,10.8,7.8,
2021-10-10,283.0,,22.2,73.7,4.6,12.8,
,284.0,Moneragala,31.1,78.0,0.0,16.6,40.5
2021-10-12,285.0,Hambantota,28.1,63.3,1.9,14.0,30.0
2021-10-13,286.0,Hambantota,29.6,62.1,6.0,16.0,32.5
2021-10-14,287.0,Kalutara,29.7,87.1,1.0,21.2,38.7
2021-10-15,288.0,Puttalam,29.4,71.2,0.0,12.4,33.9
2021-10-16,289.0,Batticaloa,28.2,66.2,3.0,26.7,30.5
2021-10-17,290.0,Batticaloa,,71.8,2.4,18.8,30.9
2021-10-18,291.0,Kalutara,29.0,69.1,12.6,14.0,32.6
2021-10-19,292.0,Anuradhapura,30.8,69.7,1.2,13.9,37.0
2021-10-20,293.0,Ratnapura,29.8,81.0,12.9,10.0,37.3
2021-10-21,294.0,Badulla,19.4,73.3,7.3,14.9,
2021-10-22,,Ratnapura,30.2,75.6,0.7,5.0,37.0
2021-10-23,296.0,Colombo,24.7,80.0,4.7,21.3,
2021-10-24,297.0,Ratnapura,30.7,75.9,0.0,5.0,38.6
2021-10-25,298.0,Anuradhapura,26.4,70.7,0.0,15.2,
2021-10-26,299.0,Kilinochchi,28.5,66.1,0.0,9.3,31.1
2021-10-27,300.0,Ampara,27.3,68.0,0.0,11.5,29.2
2021-10-28,301.0,Matara,27.1,75.7,0.0,12.1,29.5
2021-10-29,302.0,Kandy,21.7,72.3,3.8,24.6,
2021-10-30,303.0,Nuwara Eliya,19.3,73.1,0.0,9.5,
2021-10-31,304.0,Matara,29.5,78.7,12.4,19.6,35.8
2021-11-01,305.0,,28.7,72.3,0.0,20.8,32.5
2021-11-02,306.0,Kalutara,29.4,76.4,0.0,5.0,35.0
2021-11-03,307.0,Batticaloa,28.8,71.0,0.0,11.9,32.5
2021-11-04,308.0,Kegalle,26.8,82.0,0.0,,
2021-11-05,309.0,Kalutara,30.2,92.7,5.1,8.4,42.4
2021-11-06,310.0,Kegalle,28.0,77.7,,21.0,31.8
2021-11-07,311.0,Kurunegala,26.4,78.0,0.0,14.9,
2021-11-08,312.0,Mannar,28.1,76.2,2.2,14.7,31.8
2021-11-09,313.0,Kurunegala,,73.3,0.9,15.3,38.6
2021-11-10,314.0,Gampaha,30.0,89.2,0.4,16.7,40.5
2021-11-11,315.0,Badulla,19.2,73.7,7.3,10.2,
2021-11-12,316.0,,28.2,83.7,10.0,13.7,33.2
2021-11-13,317.0,Batticaloa,28.2,72.0,,16.9,31.3
2021-11-14,318.0,Hambantota,31.8,77.1,3.9,15.9,42.5
2021-11-15,319.0,Kandy,20.3,76.6,0.0,16.7,
2021-11-16,320.0,Colombo,29.4,79.7,8.9,11.4,35.8
2021-11-17,321.0,Kandy,21.3,66.9,18.0,18.2,
2021-11-18,322.0,Colombo,,81.4,4.1,15.6,35.3
2021-11-19,323.0,Mannar,28.3,69.0,2.4,7.1,31.1
2021-11-20,324.0,Polonnaruwa,28.4,71.9,0.2,12.3,31.8
2021-11-21,325.0,,28.6,,0.0,10.5,33.1
2021-11-22,326.0,Anuradhapura,28.7,70.4,5.2,10.5,32.2
2021-11-23,327.0,Ratnapura,29.8,82.0,,12.6,37.6
2021-11-24,328.0,Matara,28.8,82.4,0.1,18.1,34.7
2021-11-25,329.0,Galle,29.8,85.6,30.3,,38.6
2021-11-26,330.0,Kalutara,28.6,73.2,8.1,16.1,32.4
2021-11-27,331.0,Ampara,28.9,69.8,0.0,15.3,32.5
2021-11-28,332.0,Colombo,25.7,83.0,3.8,11.1,
2021-11-29,333.0,Batticaloa,30.1,,4.7,13.3,37.1
2021-11-30,334.0,Mullaitivu,29.3,70.2,2.7,19.3,33.4
2021-12-01,335.0,Puttalam,29.5,66.6,0.0,15.7,33.1
2021-12-02,336.0,Badulla,14.7,76.6,9.3,17.7,
2021-12-03,,Moneragala,31.1,71.6,1.4,21.4,38.4
2021-12-04,338.0,Badulla,18.8,69.4,2.6,17.2,
2021-12-05,339.0,Mannar,29.7,71.6,0.8,5.4,34.7
2021-12-06,340.0,Nuwara Eliya,17.4,73.4,16.6,,
2021-12-07,341.0,Nuwara Eliya,19.9,71.7,0.0,11.9,
2021-12-08,342.0,Vavuniya,26.4,65.3,0.0,24.1,
2021-12-09,343.0,Puttalam,27.1,77.7,16.5,17.0,29.7
2021-12-10,344.0,Badulla,21.9,,6.2,12.0,
2021-12-11,345.0,Matara,27.7,86.7,0.0,17.8,32.3
2021-12-12,346.0,Gampaha,28.3,79.6,0.0,15.5,32.8
2021-12-13,347.0,Polonnaruwa,29.3,73.3,0.0,6.4,34.1
2021-12-14,348.0,Colombo,28.7,84.1,2.1,19.3,34.8
2021-12-15,349.0,Trincomalee,28.2,76.5,0.0,13.0,32.0
2021-12-16,350.0,,28.5,86.8,5.0,22.1,34.7
2021-12-17,351.0,Matale,22.6,71.2,18.7,,
2021-12-18,352.0,Batticaloa,27.9,74.5,0.0,22.2,31.1
2021-12-19,353.0,Puttalam,28.3,76.0,9.5,17.1,32.2
2021-12-20,354.0,Kandy,20.6,80.0,,19.9,
2021-12-21,355.0,Kalutara,29.7,87.0,0.6,12.5,38.7
2021-12-22,356.0,Ampara,29.8,77.3,0.0,16.8,
2021-12-23,357.0,Ampara,29.0,74.5,12.5,6.4,33.6
2021-12-24,358.0,Mullaitivu,26.3,79.8,1.7,14.4,
2021-12-25,359.0,Mannar,30.5,75.8,0.0,7.6,37.9
2021-12-26,360.0,Polonnaruwa,26.3,70.7,0.0,9.3,
2021-12-27,361.0,Nuwara Eliya,19.5,79.8,12.4,10.5,
2021-12-28,,Kalutara,26.9,86.9,0.0,18.3,
2021-12-29,363.0,Hambantota,27.9,,1.0,14.3,30.8
2021-12-30,364.0,,19.5,72.2,10.6,15.2,
2021-12-31,365.0,Ratnapura,28.5,85.3,21.9,14.1,34.4
2022-01-01,366.0,Ampara,,76.8,17.4,20.4,30.7
2022-01-02,367.0,Mannar,29.4,,3.0,15.0,34.9
2022-01-03,368.0,Polonnaruwa,27.7,76.2,6.3,16.2,30.9
2022-01-04,369.0,Kalutara,26.6,91.8,9.0,12.1,
2022-01-05,370.0,Colombo,28.4,89.3,0.0,,34.9
2022-01-06,371.0,Anuradhapura,28.8,75.8,,21.1,33.4
2022-01-07,372.0,Polonnaruwa,25.2,78.8,6.0,14.8,
2022-01-08,373.0,Moneragala,27.9,70.9,9.0,12.1,30.6
2022-01-09,374.0,Colombo,28.1,86.6,3.9,6.9,33.5
2022-01-10,375.0,Kalutara,26.6,92.2,0.0,10.7,
2022-01-11,376.0,Kurunegala,29.1,74.1,14.1,,33.8
2022-01-12,377.0,Kegalle,26.8,81.6,0.0,10.4,
,378.0,Jaffna,27.2,72.4,0.0,16.8,29.4
2022-01-14,379.0,Badulla,17.7,70.6,,14.7,
2022-01-15,380.0,Kalutara,27.0,81.8,0.0,26.6,29.9
2022-01-16,381.0,Matara,25.4,83.5,10.9,,
2022-01-17,382.0,Mannar,24.8,69.4,0.0,12.8,
,383.0,Ratnapura,29.4,85.0,,20.3,37.1
2022-01-19,,Kurunegala,25.7,78.6,1.8,5.4,
2022-01-20,385.0,Trincomalee,25.5,71.4,0.0,7.6,
2022-01-21,386.0,,14.8,81.1,0.0,18.3,
2022-01-22,387.0,Moneragala,26.0,77.0,,14.0,
2022-01-23,388.0,Gampaha,,89.1,10.1,14.1,
2022-01-24,389.0,Jaffna,29.5,72.4,1.3,10.3,34.4
2022-01-25,390.0,Gampaha,28.5,88.4,0.0,,
2022-01-26,391.0,Ampara,26.0,70.6,2.4,11.0,
2022-01-27,,Matara,30.4,88.5,14.1,15.4,41.7
2022-01-28,393.0,Colombo,28.5,85.7,24.5,9.2,34.5
2022-01-29,394.0,Hambantota,26.5,77.2,0.6,14.1,
2022-01-30,395.0,Kilinochchi,23.3,70.3,0.0,25.1,
2022-01-31,396.0,Badulla,,71.4,0.0,12.9,
2022-02-01,397.0,Batticaloa,23.9,76.9,5.7,14.3,
2022-02-02,398.0,Galle,23.5,80.7,9.8,14.0,
2022-02-03,399.0,Jaffna,27.5,76.3,0.0,15.9,30.4
2022-02-04,400.0,,29.7,69.0,3.0,,34.1
2022-02-05,401.0,Kalutara,28.1,87.9,0.0,,33.7
2022-02-06,402.0,Kurunegala,26.8,69.6,0.0,16.4,
2022-02-07,403.0,Kegalle,26.9,86.7,0.0,14.1,
2022-02-08,404.0,Ratnapura,27.3,87.0,0.0,15.5,31.2
2022-02-09,405.0,Vavuniya,27.1,71.7,5.9,13.9,29.2
2022-02-10,406.0,Galle,26.4,86.8,2.6,5.9,
